Median_Household_Income_2018,PCTPOVALL_2018,Percent of adults with a high school diploma only 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,Obesity_prevalence,diabetes_prevalence,COPD_prevalence,Heart disease_number
50374.0,15.5,35.4,18.8,38.6,13.7,11.3,10.1
45761.0,15.0,48.4,17.6,33.2,13.1,9.9,9.2
54718.0,12.2,43.8,16.1,33.7,12.2,9.2,7.3
61849.0,9.8,32.8,24.3,36.5,11.2,8.1,7.8
48413.0,17.3,36.4,21.2,37.5,12.5,9.6,8.4
110601.0,10.1,12.3,57.1,16.8,8.8,3.8,4.6
48708.0,20.5,41.8,10.4,32.9,15.5,10.6,9.1
53107.0,10.2,33.6,20.6,30.4,10.3,6.1,7.8
88538.0,5.7,28.8,40.5,29.8,10.7,6.4,6.3
29515.0,24.3,42.0,11.6,35.7,14.3,5.8,7.6
53795.0,16.1,32.0,22.6,32.9,11.9,8.6,7.8
56769.0,12.0,42.8,11.0,38.7,14.0,11.9,9.8
68243.0,10.2,31.7,18.7,36.9,12.2,7.6,8.9
41926.0,17.1,37.5,24.9,37.4,14.7,12.1,10.5
64190.0,8.6,43.5,16.9,35.0,11.2,7.5,8.0
38782.0,18.9,40.0,25.9,31.5,12.3,7.9,9.1
52332.0,12.4,47.0,14.9,34.7,13.0,10.4,8.6
51372.0,16.5,23.2,33.9,27.3,11.4,6.0,6.2
85550.0,7.0,20.6,44.1,22.3,7.3,5.1,5.1
45680.0,19.6,34.5,16.5,36.8,14.2,9.4,8.0
37148.0,24.9,38.5,15.8,36.2,16.0,10.7,9.1
43714.0,18.8,35.7,18.6,38.9,15.5,9.2,9.4
39726.0,20.4,32.4,19.6,35.4,15.1,9.1,9.7
39790.0,19.3,33.1,25.7,38.0,13.8,12.0,9.8
42689.0,21.0,40.8,15.8,36.7,13.8,11.6,9.9
68017.0,8.2,35.1,24.3,35.4,9.8,6.7,7.1
45689.0,18.3,35.9,21.7,34.4,12.4,10.1,8.8
57939.0,9.9,34.8,24.0,37.2,12.5,10.1,8.6
53409.0,12.9,38.6,19.4,33.2,11.3,9.4,8.2
39463.0,16.9,46.9,11.6,37.2,13.2,11.3,9.7
67470.0,7.8,27.7,26.3,35.0,12.6,8.3,8.9
50301.0,14.4,38.5,17.8,36.7,13.0,9.6,8.4
71767.0,9.0,28.1,35.9,31.3,9.4,6.0,6.2
52148.0,11.6,32.3,32.3,30.7,11.0,8.4,8.6
59266.0,10.4,31.6,30.4,36.4,14.0,8.6,8.8
49957.0,16.7,26.2,34.1,34.7,12.8,7.6,7.6
43337.0,19.4,33.7,18.2,38.0,15.1,10.4,10.2
61645.0,10.7,41.5,16.9,33.6,11.8,9.0,7.6
56872.0,12.3,38.7,13.3,38.7,17.7,10.2,9.7
50261.0,11.9,34.0,20.4,39.8,12.7,8.2,8.2
60044.0,9.7,38.0,18.8,34.2,11.2,7.7,8.0
35881.0,21.6,35.1,17.8,34.9,16.7,9.2,11.2
34367.0,22.0,44.6,12.2,40.4,17.9,14.9,13.5
58942.0,13.3,37.9,14.9,34.3,11.7,8.8,8.3
62937.0,14.6,20.9,41.9,30.3,9.4,4.6,5.6
60627.0,12.5,28.7,30.1,31.3,11.1,7.2,6.7
63310.0,14.9,26.5,20.3,34.7,12.8,6.0,5.8
61735.0,12.2,24.5,35.7,29.3,13.6,8.5,8.7
57675.0,10.9,36.4,21.8,34.6,10.4,6.9,7.0
47279.0,11.7,36.5,19.8,38.1,11.5,7.9,8.1
55017.0,10.7,32.9,26.1,33.3,10.2,6.2,7.6
49436.0,9.2,48.0,16.2,37.1,13.1,9.5,8.8
39687.0,22.0,40.1,11.0,42.3,15.4,11.5,10.0
52447.0,11.5,32.9,22.7,34.4,14.1,10.3,10.0
99087.0,6.3,13.2,57.4,19.4,7.2,4.9,5.2
52837.0,18.1,21.7,38.5,29.6,9.1,7.1,6.0
49487.0,10.8,39.9,17.3,35.9,14.8,12.4,10.4
46628.0,20.1,27.3,26.2,37.4,14.3,7.6,6.9
